SEASON_ID,PLAYER_ID,TEAM_ID ,OFFRTG,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,EFG%,TS%,USG%,PACE,PIE
19,1,22,107.4,105.9,1.5,16.6,4.7,16.5,10.6,50.7,53.8,21.3,99.28,10.9
19,2,12,107.2,100.2,7,18,0.8,8.8,4.9,48.3,51.8,20.6,103.35,7.8
19,3,21,96.4,105.8,-9.5,4.4,1.7,13.9,7.5,49.8,52.2,14.8,104.97,6.6
19,4,2,112.5,106.4,6.1,20.3,6.2,16.1,11.3,58.6,60.5,18.8,100.82,13.4
19,5,3,116.3,108.2,8.2,5.7,4.8,20.4,12.7,51.4,56.8,13.4,101.22,9.7
19,6,26,115.3,88.1,27.1,17.6,11.4,40.5,26.4,61.5,61,22.2,110.91,27.4
19,7,21,103.6,114.6,-11.1,14.2,2.1,15.1,8.4,46.9,52.3,18.5,99.46,9.1
19,8,14,101.3,99.8,1.6,4.7,0.7,6.7,3.6,48.7,50.7,12,104.4,4.1
19,9,1,105.6,102.4,3.2,20.5,3.5,7.9,5.8,51.4,56.9,18.4,102.62,9.6
19,10,1,106,110.4,-4.4,8.6,9,15.9,12.4,55.1,57.5,21.4,107.31,10
19,11,25,101.5,111.5,-10,8.5,8.5,15.1,11.7,54.9,57.1,14,106.19,6.9
19,12,10,108.8,107.9,0.9,4.1,7.5,15.2,11.4,56.4,56.9,13.1,103.91,6.5
19,13,12,110.7,112.2,-1.6,1.8,5.1,19.2,12.2,28.1,33.3,11.6,110.63,3.6
19,14,3,106.5,106.2,0.3,5.9,1.3,10.8,6,49.9,51.9,15.9,102.62,5.5
19,15,20,102.1,109.3,-7.2,13.1,2,10.7,6.3,49.8,56.4,20.7,101.44,9
19,16,22,124.3,115.5,8.8,5.2,8.2,25,15.8,62.5,69.2,12.5,104.09,11.1
19,17,23,104.7,109.7,-5,15.6,8.4,18.5,13.3,54.1,57.4,16.9,105.63,8
19,18,9,111.7,108.4,3.3,6.8,15.1,31.1,22.8,53.6,55.5,22.6,98.15,15.9
19,19,10,113.4,104.4,9,17.3,3.1,11.7,7.6,57.9,58.7,10.1,103.23,9
19,20,14,97.1,87.5,9.6,0,5.9,5.3,5.6,0,0,18.4,108.3,-9.3
19,21,10,114.3,110.5,3.9,10.4,10,29.7,20.8,50,52.3,14.8,102.35,9.2
19,22,19,103.2,108.7,-5.5,19.4,3.2,7.4,5.3,34.9,44.3,17.1,97.79,2.5
19,23,18,110.7,111.9,-1.2,10.8,3.1,9.9,6.5,46.1,49.3,24,101.57,7.8
19,24,25,104.5,122.1,-17.6,13.5,2.2,6.7,4.6,52.4,53.5,24,105.22,6
19,25,13,75.8,68.8,7,0,8.3,14.3,10.5,20,25.5,15,105.64,0
19,26,6,106.3,110.2,-3.9,7.5,9.7,19.3,14.4,55.3,59,17.8,99.35,10.3
19,27,19,113.5,110.1,3.4,18.6,8.9,24.9,17,54,59.7,28.8,103.73,19.7
