SEASON_ID,PLAYER_ID,TEAM_ID ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3
19,1,22,78,33.8,16,6,13.4,44.9,1.6,4.4,34.9,2.4,3.2,73.1,1.7,5.7,7.4,3.7,2.1,0.7,0.7,2.2,32.6,19,0
19,2,12,50,12.9,5.9,2.1,5.2,40.1,0.9,2.5,33.9,0.8,1,82,0.1,1.2,1.3,1.7,0.8,0.4,0.3,1.4,11.3,0,0
19,3,21,61,11.4,4,1.5,3.5,42.3,0.5,1.6,32,0.4,0.6,75,0.2,1.7,1.9,0.3,0.4,0.3,0.2,1.1,7.9,0,0
19,4,2,68,29,13.6,5.7,10.6,53.5,1.1,3,36,1.1,1.4,82.1,1.8,5,6.7,4.2,1.5,0.9,1.3,1.9,32.8,10,1
19,5,3,81,28.3,9.4,3.2,7.3,43.3,1.2,3.5,34.3,1.9,2.1,86.7,1.4,6.1,7.5,1.3,0.9,0.8,0.4,1.8,23.2,12,0
19,6,26,5,5.1,3.6,1.6,2.6,61.5,0,0.2,0,0.4,0.8,50,0.8,3,3.8,0.6,0.2,0.2,0,0.4,9.5,0,0
19,7,21,64,21.5,8.8,3,7.4,40.5,1,2.6,36.3,1.8,2.2,82.3,0.5,3.2,3.7,2,1,0.6,0.3,1.4,18,1,0
19,8,14,31,19,5.3,1.8,5.1,35.7,1.3,4.1,32.3,0.4,0.4,92.3,0.2,1.4,1.5,0.6,0.5,0.5,0.2,1.7,9.9,0,0
19,9,1,25,21.2,9.2,3.1,6.9,44.5,1,2,48,2,2.6,79.7,0.8,1.9,2.7,3.1,1.7,1,0.4,2.2,19.3,3,0
19,10,1,77,20.1,11.1,4.2,8.4,49.4,1,2.6,36.3,1.8,2.8,64.8,2.1,3.5,5.5,1.1,1.3,0.4,0.9,2.6,21.9,9,0
19,11,25,21,14.5,5.1,1.9,3.9,49.4,0.4,1.1,39.1,0.9,1.4,62.1,1.4,2.2,3.6,0.8,0.6,0.2,0.5,2.2,12,0,0
19,12,10,72,13.9,4.7,1.9,3.8,48.7,0.6,1.6,35.6,0.4,0.7,56.3,1.1,2.3,3.4,0.4,0.4,0.3,0.2,1.9,10.4,1,0
19,13,12,14,4.6,0.9,0.3,1.1,25,0.1,0.1,50,0.3,0.6,50,0.3,1.1,1.4,0.1,0,0.1,0.2,0.5,3.5,0,0
19,14,3,43,26.4,9.6,3.2,8.7,36.7,2.3,6,37.8,1,1.3,73.2,0.4,3.1,3.4,1.1,1.1,0.5,0.3,2.4,16.8,1,0
