PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
1,Aaron Gordon,ORL,23,6'9'',220,2014,2019,5,22,,,,,,,,,,,,,
2,Aaron Holiday,IND,22,6'1'',185,2018,2019,1,12,,,,,,,,,,,,,
3,Abdel Nader,OKC,25,6'6'',225,2016,2019,3,21,,,,,,,,,,,,,
4,Al Horford,BOS,33,6'10'',245,2007,2019,12,2,,,,,,,,,,,,,
5,Alan Williams,BKN,26,6'8'',265,Undrafted,2019,0,3,,,,,,,,,,,,,
6,Alec Burks,SAC,27,6'6'',214,2011,2019,8,26,,,,,,,,,,,,,
7,Alex Abrines,OKC,25,6'6'',200,2013,2019,6,21,,,,,,,,,,,,,
8,Alex Caruso,LAL,25,6'5'',186,Undrafted,2019,0,14,,,,,,,,,,,,,
9,Alex Len,ATL,26,7'1'',250,2013,2019,6,1,,,,,,,,,,,,,
10,Alex Poythress,ATL,25,6'9'',235,Undrafted,2019,0,1,,,,,,,,,,,,,
11,Al-Farouq Aminu,POR,28,6'9'',220,2010,2019,9,25,,,,,,,,,,,,,
12,Alfonzo McKinnie,GSW,26,6'8'',215,Undrafted,2019,0,10,,,,,,,,,,,,,
13,Alize Johnson,IND,23,6'9'',212,2018,2019,1,12,,,,,,,,,,,,,
14,Allen Crabbe,BKN,27,6'6'',212,2013,2019,6,3,,,,,,,,,,,,,
15,Allonzo Trier,NYK,23,6'5'',200,Undrafted,2019,0,20,,,,,,,,,,,,,
16,Amile Jefferson,ORL,26,6'9'',222,Undrafted,2019,0,22,,,,,,,,,,,,,
17,Amir Johnson,PHI,32,6'9'',240,2005,2019,14,23,,,,,,,,,,,,,
18,Andre Drummond,DET,25,6'11'',279,2012,2019,7,9,,,,,,,,,,,,,
19,Andre Iguodala,GSW,35,6'6'',215,2004,2019,15,10,,,,,,,,,,,,,
20,Andre Ingram,LAL,33,6'3'',190,Undrafted,2019,0,14,,,,,,,,,,,,,
21,Andrew Bogut,GSW,34,7'1'',260,2005,2019,14,10,,,,,,,,,,,,,
22,Andrew Harrison,NOP,24,6'6'',213,2015,2019,4,19,,,,,,,,,,,,,
23,Andrew Wiggins,MIN,24,6'8'',194,2014,2019,5,18,,,,,,,,,,,,,
24,Anfernee Simons,POR,20,6'4'',185,2018,2019,1,25,,,,,,,,,,,,,
25,Angel Delgado,LAC,24,6'10'',245,Undrafted,2019,0,13,,,,,,,,,,,,,
26,Ante Zizic,CLE,22,6'11'',254,2016,2019,3,6,,,,,,,,,,,,,
27,Anthony Davis,NOP,26,6'10'',253,2012,2019,7,19,,,,,,,,,,,,,
28,Anthony Tolliver,MIN,34,6'8'',250,Undrafted,2019,0,18,,,,,,,,,,,,,
29,Antonio Blakeney,CHI,22,6'4'',192,Undrafted,2019,0,5,,,,,,,,,,,,,
30,Aron Baynes,BOS,32,6'10'',260,Undrafted,2019,0,2,,,,,,,,,,,,,
31,Austin Rivers,HOU,26,6'4'',200,2012,2019,7,11,,,,,,,,,,,,,
32,Avery Bradley,MEM,28,6'2'',180,2010,2019,9,15,,,,,,,,,,,,,
33,Bam Adebayo,MIA,21,6'10'',255,2017,2019,2,16,,,,,,,,,,,,,
34,Ben McLemore,SAC,26,6'5'',201,2013,2019,6,26,,,,,,,,,,,,,
35,Ben Simmons,PHI,22,6'10'',230,2016,2019,3,23,,,,,,,,,,,,,
36,Billy Garrett,NYK,24,6'6'',215,Undrafted,2019,0,20,,,,,,,,,,,,,
37,Bismack Biyombo,CHA,26,6'9'',255,2011,2019,8,4,,,,,,,,,,,,,
38,BJ Johnson,SAC,23,6'7'',200,Undrafted,2019,0,26,,,,,,,,,,,,,
39,Blake Griffin,DET,30,6'10'',250,2009,2019,10,9,,,,,,,,,,,,,
40,Bo1 Bogdanovic,IND,30,6'8'',216,2011,2019,8,12,,,,,,,,,,,,,
41,Boban Mar1ovic,PHI,30,7'3'',290,Undrafted,2019,0,23,,,,,,,,,,,,,
