SEASON_ID,PLAYER_ID,TEAM_ID,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,
19,1,22,5,32.8,15.2,5.8,12.4,46.8,1.6,4,40,2,3.8,52.6,2.2,5,7.2,3.6,2.6,1.2,0.2,3.2,30.8,1,0,
19,2,12,3,4.5,1.7,0.7,1.7,40,0.3,0.7,50,0,0,0,0,0,0,0,0.3,0,0,1,1.3,0,0,
19,3,21,3,1.6,0.7,0.3,0.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.7,0,0,
19,4,2,9,34.5,13.9,5.1,12.2,41.8,2,4.9,40.9,1.7,2,83.3,1.4,7.6,9,4.4,2.1,0.4,0.8,2.3,32.9,3,0,
19,11,25,16,24.9,7.4,2.4,6.8,34.9,0.9,3.2,29.4,1.7,2.3,75,1.8,4.4,6.3,1.3,1,0.6,0.6,2.1,19.4,1,0,
19,12,10,22,10.7,3,1.2,2.7,44.1,0.5,1.5,31.3,0.2,0.5,40,0.8,1.5,2.3,0.2,0.3,0.1,0,1.5,6.1,0,0,
19,17,23,4,4.9,2,1,1,100,0,0,0,0,0,0,0.8,0.5,1.3,0.5,0.3,0.3,0,0.8,4.8,0,0,
19,18,9,4,31.8,14.3,6,13.5,44.4,0,0.3,0,2.3,5.3,42.9,5,8,13,2.3,2.8,1.5,1.3,4.3,38.7,4,0,
19,19,10,21,30,9.8,3.9,7.9,49.4,1.3,3.8,35,0.7,1.8,37.8,1.3,3,4.3,4,1,1.1,1.1,2,26.7,0,0,
19,21,10,19,9.4,2.7,1.3,1.9,64.9,0,0,0,0.2,0.3,80,1.2,2.7,3.9,1.1,0.5,0.3,0.3,2,10.3,0,0,
19,24,25,5,2.4,0.8,0,1.4,0,0,0.4,0,0.8,1,80,0,0,0,0,0,0.2,0,0.4,1.4,0,0,
19,30,2,9,12.8,2.1,0.9,1.6,57.1,0.2,0.7,33.3,0.1,0.2,50,0.7,2.1,2.8,0.3,0.6,0.3,0.2,2.2,7.1,0,0,
19,31,11,10,21.5,7.4,2.7,6.2,43.5,1.6,3.5,45.7,0.4,0.6,66.7,0.2,1.9,2.1,1,0.8,0.5,0.1,3.1,12.4,0,0,
19,35,23,12,35.1,13.9,6,9.7,62.1,0,0,0,1.9,3.3,57.5,1.9,5.1,7,6,2.7,1.3,1,3.8,35.4,1,1,
19,39,9,2,29,24.5,9,19.5,46.2,3,6.5,46.2,3.5,3.5,100,2,4,6,6,3,1,0,4.5,40.7,0,0,
19,41,23,11,9.5,5.8,2.2,3.6,60,0,0.3,0,1.5,1.7,84.2,1.2,2.1,3.3,1,1.3,0.2,0.3,1.6,11.3,0,0,
19,42,12,4,36.9,18,6.3,15.8,39.7,1.8,5.5,31.8,3.8,4.3,88.2,0.8,5,5.8,2.8,1.5,2,0,1.8,33.5,0,0,
19,45,2,4,4.3,2.5,0.8,1.8,42.9,0.3,0.3,100,0.8,1,75,0,0,0,0.8,0.5,0.5,0,0,4.6,0,0,
19,51,17,15,29.2,11.2,4.1,8.9,45.5,1.5,5,29.3,1.6,1.9,82.8,0.8,4.7,5.5,1.4,0.7,0.4,1.9,3.1,26,1,0,
19,52,9,4,14.2,3.3,1.3,3.5,35.7,0.3,1.3,20,0.5,0.5,100,0.3,1.8,2,0.5,0.5,0.5,0.3,2,8.2,0,0,
19,54,27,7,30.3,10.7,3.9,8,48.2,2.1,4.4,48.4,0.9,1.3,66.7,0.1,3.4,3.6,1,0.4,0.1,0.1,2,16.9,0,0,
19,60,3,5,28.9,21,7.2,14.6,49.3,2.4,5.2,46.2,4.2,5.8,72.4,1.2,3.4,4.6,3,2,1,0.4,1.6,33.2,0,0,
19,69,28,2,2,2.5,1,2.5,40,0.5,1.5,33.3,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,4.6,0,0,
19,71,11,11,36.1,17,6,13.5,44.6,1.5,5.7,27,3.5,4.1,84.4,1.3,5.1,6.4,5.5,3.4,2.2,0.6,3.3,37.9,1,0,
19,73,25,16,39.7,24.7,9.6,21.9,44,2.9,7.3,39.3,2.6,3.5,73.2,0.9,4.1,5,3.7,1.9,0.8,0.6,2.1,38.7,0,0,
19,75,11,11,30.1,9.7,4.2,7.5,56.1,0,0,0,1.4,3.2,42.9,3.7,6.5,10.3,1.5,1.5,0.3,1.1,2.4,26.9,6,0,
19,79,12,4,21.2,7.5,3,6,50,1,2.3,44.4,0.5,0.5,100,0.3,1.5,1.8,1,0,0.8,0,1.8,13.4,0,0,
19,82,22,5,28.2,12.8,4,8.2,48.8,2,4.2,47.6,2.8,3.2,87.5,0.2,1.4,1.6,3.8,1.4,0.4,0.2,1.4,20.8,0,0,
19,83,17,8,5.3,2.4,1,2,50,0.1,0.6,20,0.3,0.3,100,0.1,1.1,1.3,0.5,0.9,0,0.1,0.9,4.1,0,0,
19,85,10,4,2,0.8,0.3,0.3,100,0,0,0,0.3,0.5,50,0,0.5,0.5,0,0.3,0,0,0.8,1.1,0,0,
19,86,25,16,40.6,26.9,8.6,20.6,41.8,3.7,9.9,37.3,5.9,7.1,83.3,0.5,4.3,4.8,6.6,3.8,1.7,0.3,2.5,44.8,3,0,
19,89,3,5,29.6,19.4,7.4,20.6,35.9,2.4,7.4,32.4,2.2,2.6,84.6,0.4,3.2,3.6,3.6,2.8,1.4,0.2,2.4,31.1,0,0,
19,91,2,7,6,1.7,0.7,2,35.7,0,0.3,0,0.3,0.3,100,0.6,0.9,1.4,0,0.1,0.1,0.1,0.6,4.1,0,0,
19,92,13,6,33.6,19.8,6.5,18.5,35.1,2.2,7.2,30.2,4.7,5.5,84.8,1.5,4.7,6.2,2.7,1.8,1.3,0.2,2.3,33.9,0,0,
19,93,28,24,28.5,6.9,2.2,6.5,34.2,1.6,5,32.8,0.9,1,91.3,0.7,2.9,3.6,1.1,1.1,1.3,0.5,2.5,17.2,0,0,
19,94,27,5,2.6,1.2,0.4,0.6,66.7,0.4,0.4,100,0,0,0,0.4,0.8,1.2,0,0,0,0,0,2.6,0,0,
19,96,11,7,20.1,4.9,1.6,5.3,29.7,1.1,4.4,25.8,0.6,1.1,50,0.3,2.9,3.1,0.1,0.6,0.4,0.3,1.6,10.4,0,0,
19,99,12,4,29.2,12,4.8,11.3,42.2,1,2.8,36.4,1.5,1.5,100,1,2,3,4,2.5,0.5,0,2.8,20.6,0,0,
19,102,27,5,15.8,3.2,1,3,33.3,0.6,2.2,27.3,0.6,1,60,0,1.6,1.6,1,0.2,0,0.2,2,7,0,0,
19,110,27,7,35.8,22,8.3,17,48.7,0,0.1,0,5.4,6.3,86.4,1.4,5.3,6.7,4.6,1.7,1.1,0.1,2.3,39.1,1,0,
19,111,10,8,16.6,7.6,2.6,6.6,39.6,0.4,1.5,25,2,3.1,64,1.1,3.8,4.9,2.4,2.4,0.6,0.8,3,18.8,1,0,
19,112,3,5,23.9,6.6,1.8,7.6,23.7,1.4,4.8,29.2,1.6,1.6,100,1.2,2.8,4,0.4,0.6,0.8,0,1.6,13.8,0,0,
19,115,21,5,30.1,13.8,5,11,45.5,1.2,4,30,2.6,3.6,72.2,0.4,2.8,3.2,3.4,1.2,0.8,0,2.2,23.9,0,0,
19,117,21,3,1.5,0.7,0.3,1.7,20,0,0.7,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0,1.5,0,0,
19,118,29,5,20.6,11.8,4.6,7.2,63.9,0,0.6,0,2.6,3.8,68.4,3,4.4,7.4,0.8,1,0.8,1.8,2.4,28.7,2,0,
19,121,27,7,27.2,15.1,5.9,10.7,54.7,0.7,2.4,29.4,2.7,3.7,73.1,0.1,2.9,3,3,2.1,0.7,0.7,2.4,25.4,0,0,
19,133,12,4,24,8.5,3,7.3,41.4,0.3,1,25,2.3,3.5,64.3,1.8,5.5,7.3,4,1.3,0.8,0.3,3,25,0,0,
19,134,27,5,3.7,2.6,1.2,2,60,0,0.2,0,0.2,0.4,50,0.6,0.8,1.4,0.4,0,0,0,0.2,4.9,0,0,
19,135,29,5,38.6,21.4,7.2,22.4,32.1,2.2,8.6,25.6,4.8,6.6,72.7,1.4,3.6,5,3.2,4.2,1.6,0.2,3,33.4,0,0,
19,139,12,3,9.7,2,0.7,3.3,20,0,2.3,0,0.7,1.3,50,1,0.7,1.7,1.3,0,0,0.3,0.7,7,0,0,
19,141,10,22,38.7,13.3,5.2,10.4,49.8,0.6,2.6,22.8,2.3,3.2,71.8,1.9,8.3,10.1,8.5,3.8,1.5,1.5,3.9,43.3,14,6,
19,149,3,2,7.3,2,1,1.5,66.7,0,0.5,0,0,0,0,0,0,0,0,1.5,1,0,2,3.5,0,0,
19,150,3,3,13.6,5.3,2.3,3.3,70,0,0,0,0.7,0.7,100,1.3,5,6.3,0.7,0,0,0.3,3,14.9,1,0,
19,151,12,1,1.6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2.4,0,0,
19,152,29,2,3.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,157,25,16,28.8,11.4,4.7,9.1,51.4,0.1,0.3,25,1.9,2.6,75.6,3.3,6.4,9.6,1.2,1.6,0.7,0.6,2.3,26.8,5,0,
19,158,17,15,28.2,13.7,5.1,12.3,41.1,1.1,4.8,23.6,2.4,3.4,70.6,1.3,2.4,3.7,4.3,2.1,1.1,0.4,1.9,26.8,0,0,
19,159,11,11,37.2,17.8,6.1,13.6,44.7,3.5,8.6,40,2.2,2.5,85.7,0.5,2.1,2.5,1.3,2.5,0.6,1,2,25.2,0,0,
19,160,28,8,3.5,0.3,0.1,0.3,50,0,0,0,0,0,0,0.3,1.5,1.8,0.4,0,0,0,0.6,2.9,0,0,
19,161,17,15,18.2,6.8,2.3,5.4,43.2,0.8,2.7,30,1.3,1.7,80,1.3,3.4,4.7,1.4,0.5,0.7,0.4,2.7,17.3,0,0,
19,163,22,5,35,12.4,4.8,13.8,34.8,1.6,6.8,23.5,1.2,1.6,75,0.6,2.6,3.2,2,2.4,1.4,0,2.8,21,0,0,
19,164,25,16,15.3,2.7,0.9,2.9,32.6,0.1,0.1,100,0.8,0.9,80,0.8,3.7,4.5,2.2,0.8,0.2,0.2,1.4,11.7,0,0,
